Name;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000
Jane Bolander;Academic;Academic;Academic;Academic;Academic;Academic;Academic;Academic;Academic;Academic;Academic;Academic;Academic;Academic;Academic;Academic;Academic;Academic;Academic;Academic;Academic
Kent Damsgaard;Trade Organisation;Trade Organisation;Trade Organisation;Trade Organisation;Trade Organisation;Other;Other;Other;Other;Other;Other;Other;Tax Expert;Tax Expert;Economist;NA;NA;NA;NA;NA;NA
Ole Draborg;Trade Organisation;Trade Organisation;Trade Organisation;Trade Organisation;Trade Organisation;Trade Organisation;Trade Organisation;Trade Organisation;Trade Organisation;Trade Organisation;Trade Organisation;Trade Organisation;Trade Organisation;Trade Organisation;Trade Organisation;Trade Organisation;Trade Organisation;Trade Organisation;Trade Organisation;Trade Organisation;Trade Organisation
Jacob Ravn;Trade Organisation;Trade Organisation;Trade Organisation;Trade Organisation;Trade Organisation;Trade Organisation;Trade Organisation;Trade Organisation;Trade Organisation;Trade Organisation;Tax Expert;Tax Expert;Tax Expert;Tax Expert;Tax Expert;Tax Expert;Tax Expert;Tax Expert;Tax Expert;Tax Expert;NA
Niels Rasmussen;Trade Organisation;Trade Organisation;Trade Organisation;Trade Organisation;Trade Organisation;Trade Organisation;Trade Organisation;Trade Organisation;Trade Organisation;Trade Organisation;Trade Organisation;Trade Organisation;Trade Organisation;Trade Organisation;Trade Organisation;Trade Organisation;Trade Organisation;Trade Organisation;NA;NA;NA
Steen Jørgensen;Economist;Economist;Economist;Economist;Economist;Economist;Economist;Economist;Economist;Economist;Economist;Economist;Economist;Economist;Economist;Economist;Economist;Economist;Economist;Economist;Economist
Helle Adelborg (A);Politician;Politician;Politician;Politician;Politician;Politician;Politician;Politician;Politician;Academic;Academic;Academic;Academic;Academic;Academic;Academic;NA;NA;NA;NA;NA
Rasmus Gamst Beltofte (B);Politician;Politician;Politician;Politician;Politician;Politician;Politician;Politician;Politician;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Hans Andersen (V);Politician;Politician;Politician;Politician;Politician;Politician;Politician;Politician;Politician;Politician;Politician;Politician;Politician;Politician;Politician;Politician;Politician;Politician;Politician;Politician;Politician
Jan Rix Rasmussen (A);Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;NA;NA;NA
Svend Erik Nielsen (O);Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;NA;NA
Svend Thorhauge (B);Politician;Politician;Politician;Politician;Politician;Politician;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other
Jan Kristoffersen (Å);Tax expert;Tax expert;Tax expert;Tax expert;Tax expert;Tax expert;Tax expert;Tax expert;Tax expert;Tax expert;Tax expert;Tax expert;Tax expert;Tax expert;Tax expert;Tax expert;Tax expert;Tax expert;Tax expert;Tax expert;Other
Christen Amby;A2;Tax expert;Tax expert;Tax expert;Tax expert;Tax expert;Tax expert;Tax expert;Tax expert;Tax expert;Tax expert;Tax expert;Tax expert;Tax expert;Tax expert;Tax expert;Tax expert;Tax expert;Tax expert;Tax expert;NA
Tommy V. Christiansen;Tr1;Tax expert;Tax expert;Tax expert;Tax expert;Tax expert;Tax expert;Tax expert;Tax expert;Tax expert;Tax expert;Tax expert;Tax expert;Tax expert;Tax expert;Tax expert;Tax expert;Tax expert;Tax expert;Tax expert;Tax Expert
Louise Schack Elholm;P;Tax expert;Tax expert;Tax expert;Tax expert;Tax expert;Tax expert;Tax expert;Tax expert;Tax expert;Tax expert;Tax expert;Tax expert;Other;Other;NA;NA;NA;NA;NA;NA